Filename, Object Description
pop0, TimedArray( name = pop0 )
pop1, TimedArray( name = pop1 )
pop2, TimedArray( name = pop2 )
pop3, TimedArray( name = pop3 )
pop4, TimedArray( name = pop4 )
pop5, Population( name = FSI )
pop6, Population( name = MSNd1 )
pop7, Population( name = MSNd2 )
pop8, Population( name = GPe )
pop9, Population( name = GPiSNr )
pop10, Population( name = STN )
proj0, Projection( pre = pop1, post = MSNd1, target = exc ) using connector: One-to-One 
proj1, Projection( pre = pop1, post = MSNd2, target = exc ) using connector: One-to-One 
proj2, Projection( pre = pop1, post = FSI, target = exc ) using connector: One-to-One 
proj3, Projection( pre = pop2, post = MSNd1, target = exc ) using connector: One-to-One 
proj4, Projection( pre = pop2, post = MSNd2, target = exc ) using connector: One-to-One 
proj5, Projection( pre = pop2, post = FSI, target = exc ) using connector: One-to-One 
proj6, Projection( pre = pop2, post = STN, target = exc ) using connector: One-to-One 
proj7, Projection( pre = pop3, post = MSNd1, target = exc ) using connector: One-to-One 
proj8, Projection( pre = pop3, post = MSNd2, target = exc ) using connector: One-to-One 
proj9, Projection( pre = pop3, post = FSI, target = exc ) using connector: One-to-One 
proj10, Projection( pre = pop4, post = MSNd1, target = exc ) using connector: One-to-One 
proj11, Projection( pre = pop4, post = MSNd2, target = exc ) using connector: One-to-One 
proj12, Projection( pre = pop4, post = FSI, target = exc ) using connector: One-to-One 
proj13, Projection( pre = pop4, post = STN, target = exc ) using connector: One-to-One 
proj14, Projection( pre = MSNd1, post = GPe, target = inh ) using connector: One-to-One 
proj15, Projection( pre = MSNd2, post = GPe, target = inh ) using connector: One-to-One 
proj16, Projection( pre = MSNd1, post = GPiSNr, target = inh ) using connector: One-to-One 
proj17, Projection( pre = MSNd2, post = GPiSNr, target = inh ) using connector: One-to-One 
proj18, Projection( pre = MSNd1, post = MSNd1, target = inh ) using connector: All-to-All 
proj19, Projection( pre = MSNd1, post = MSNd2, target = inh ) using connector: All-to-All 
proj20, Projection( pre = MSNd2, post = MSNd1, target = inh ) using connector: All-to-All 
proj21, Projection( pre = MSNd2, post = MSNd2, target = inh ) using connector: All-to-All 
proj22, Projection( pre = STN, post = GPe, target = exc ) using connector: All-to-All 
proj23, Projection( pre = STN, post = GPiSNr, target = exc ) using connector: All-to-All 
proj24, Projection( pre = STN, post = MSNd1, target = exc ) using connector: All-to-All 
proj25, Projection( pre = STN, post = MSNd2, target = exc ) using connector: All-to-All 
proj26, Projection( pre = STN, post = FSI, target = exc ) using connector: All-to-All 
proj27, Projection( pre = GPe, post = STN, target = inh ) using connector: One-to-One 
proj28, Projection( pre = GPe, post = GPiSNr, target = inh ) using connector: All-to-All 
proj29, Projection( pre = GPe, post = MSNd1, target = inh ) using connector: All-to-All 
proj30, Projection( pre = GPe, post = MSNd2, target = inh ) using connector: All-to-All 
proj31, Projection( pre = GPe, post = FSI, target = inh ) using connector: All-to-All 
proj32, Projection( pre = GPe, post = GPe, target = inh ) using connector: All-to-All 
proj33, Projection( pre = FSI, post = MSNd1, target = inh ) using connector: All-to-All 
proj34, Projection( pre = FSI, post = MSNd2, target = inh ) using connector: All-to-All 
proj35, Projection( pre = FSI, post = FSI, target = inh ) using connector: All-to-All 
proj36, Projection( pre = pop0, post = MSNd1, target = exc ) using connector: All-to-All 
proj37, Projection( pre = pop0, post = MSNd2, target = exc ) using connector: All-to-All 
proj38, Projection( pre = pop0, post = FSI, target = exc ) using connector: All-to-All 
proj39, Projection( pre = pop0, post = STN, target = exc ) using connector: All-to-All 
proj40, Projection( pre = pop0, post = GPe, target = exc ) using connector: All-to-All 
proj41, Projection( pre = pop0, post = GPiSNr, target = exc ) using connector: All-to-All 
